"airport","year","flyway","fighter_wing_dummy","ws_intervention_date","ws_intervention_year","staff_years","number_of_mgmt_tasks","total_mgmt_work_hours","itinerant_air_carrier","itinerant_air_taxi","itinerant_general_aviation","itinerent_military","itinerant_total","local_civil","local_military","local_total","total_operations","civ_strike","civ_disruptive_strike","civ_damage_strike","civ_species_order_reported","civ_species_reported","civ_aos_hours","civ_reported_cost","civ_strike_aoa","civ_disruptive_strike_aoa","civ_damage_strike_aoa","civ_species_order_reported_aoa","civ_species_reported_aoa","civ_aos_hours_aoa","civ_reported_cost_aoa","mil_strike","mil_disruptive_strike","mil_damage_strike","mil_species_order_reported","mil_species_reported","mil_reported_cost","mil_strike_aoa","mil_disruptive_strike_aoa","mil_damage_strike_aoa","mil_species_order_reported_aoa","mil_species_reported_aoa","mil_reported_cost_aoa","all_perc_damage","all_perc_damage_aoa","civ_perc_damage","civ_perc_damage_aoa","mil_perc_damage","mil_perc_damage_aoa"
"BAF",2005,"Atlantic",1,Oct 2008,2008,0.001,0,0,24,658,23591,4516,28789,28276,3776,32052,60841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAF",2006,"Atlantic",1,Oct 2008,2008,0,0,0,0,588,25218,4125,29931,34015,4216,38231,68162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAF",2007,"Atlantic",1,Oct 2008,2008,0.001,0,0,2,536,24872,3576,28986,31203,2921,34124,63110,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,2,2,3,3,30893.7027077033,0,0,0,0,0,0,14.6791498248809,15.5549404926654,15.5549404926654,15.5549404926654,14.387219602286,0
"BAF",2008,"Atlantic",1,Oct 2008,2008,0.013,25,159.5,8,727,29694,2987,33416,23938,1805,25743,59159,2,0,0,2,2,0,0,2,0,0,2,2,0,0,4,2,2,4,4,62387.6733101026,1,0,0,1,1,0,0.553271115900095,0.645303882899627,0.714791267387416,0.714791267387416,0.472511040156434,0.506329113924051
"BAF",2009,"Atlantic",1,Oct 2008,2008,0.172,71,377,6,740,29668,4119,34533,22740,2293,25033,59566,2,1,0,2,2,0,0,1,1,0,1,1,0,0,4,1,0,4,3,0,2,1,0,2,2,0,0.838780410657402,0.744420091935831,1.46377111913813,0.978179082016554,0.526285056417038,0.62754059689547
"BAF",2010,"Atlantic",1,Oct 2008,2008,0.006,34,199,9,623,29783,4339,34754,24339,2891,27230,61984,1,0,0,1,1,0,0,1,0,0,1,1,0,0,5,1,1,5,5,119304.283770487,2,1,1,2,2,119304.283770487,7.77843934096974,14.20201770767,0.579523502897617,0.579523502897617,9.21822250858416,21.0132648100563
"BAF",2011,"Atlantic",1,Oct 2008,2008,0.1,37,198.516666666667,5,712,23551,3223,27491,22200,2009,24209,51700,3,0,0,3,3,0,0,3,0,0,3,3,0,0,3,1,1,3,3,923771.171946176,1,1,1,1,1,923771.171946176,0.824940031636949,0.683216147673288,0.417127703070557,0.417127703070557,1.23275236020334,1.48148148148148
"BAF",2012,"Atlantic",1,Oct 2008,2008,0.17,40,423.75,8,663,25065,3681,29417,19626,2624,22250,51667,2,0,0,2,2,0,0,2,0,0,2,2,0,0,4,0,0,4,4,0,3,0,0,3,3,0,1.90795541314202,2.20912734139002,4.76332468258897,4.76332468258897,0.480270778418547,0.506329113924051
"BAF",2013,"Atlantic",1,Oct 2008,2008,0.113,40,429.5,5,744,21506,3191,25446,16333,2362,18695,44141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5,5,67029.317020128,4,1,1,4,4,67029.317020128,4.77821313578121,5.82788554400211,0,0,4.77821313578121,5.82788554400211
"BAF",2014,"Atlantic",1,Oct 2008,2008,0.118,31,289,22,770,20286,4620,25698,13342,3284,16626,42324,4,0,0,4,4,0,0,3,0,0,3,3,0,0,10,2,2,7,6,225691.782792464,7,1,1,4,4,18215.836617423,0,0,0.783891454965893,0.911156682653846,0,0
